Provence,number,year,GDP
陕西,tGDP,1989,358.3699951
广东,first_num,1989,351.730011
广东,second_num,1989,554.1300049
广东,third_num,1989,475.5299988
广东,tGDP,1989,1381.390015
吉林,first_num,1989,80.52999878
吉林,second_num,1989,181.0200043
吉林,third_num,1989,130.1000061
吉林,tGDP,1989,391.6499939
河北,first_num,1989,196.3500061
河北,second_num,1989,374.9200134
河北,third_num,1989,251.5599976
河北,tGDP,1989,822.8300171
湖北,first_num,1989,239.0700073
湖北,second_num,1989,300.4500122
湖北,third_num,1989,177.5500031
湖北,tGDP,1989,717.0800171
贵州,first_num,1989,92.87999725
贵州,second_num,1989,86.73999786
贵州,third_num,1989,56.22000122
贵州,tGDP,1989,235.8399963
山东,first_num,1989,359.1400146
山东,second_num,1989,579.6500244
山东,third_num,1989,355.1499939
山东,tGDP,1989,1293.939941
江西,first_num,1989,133.1900024
江西,second_num,1989,131.2299957
江西,third_num,1989,112.0400009
江西,tGDP,1989,376.4599915
河南,first_num,1989,289.9500122
河南,second_num,1989,317.1300049
河南,third_num,1989,243.6300049
河南,tGDP,1989,850.710022
辽宁,first_num,1989,141.8999939
辽宁,second_num,1989,545.0999756
辽宁,third_num,1989,316.8999939
辽宁,tGDP,1989,1003.799988
山西,first_num,1989,63.75
山西,second_num,1989,188.75
山西,third_num,1989,123.7600021
山西,tGDP,1989,376.2600098
安徽,first_num,1989,225.3899994
安徽,second_num,1989,227.8500061
安徽,third_num,1989,163.0099945
安徽,tGDP,1989,616.25
福建,first_num,1989,135.7700043
福建,second_num,1989,163.8200073
福建,third_num,1989,158.8099976
福建,tGDP,1989,458.3999939
浙江,first_num,1989,210.9499969
浙江,second_num,1989,386.25
浙江,third_num,1989,252.2400055
浙江,tGDP,1989,849.4400024
江苏,first_num,1989,324.1799927
江苏,second_num,1989,657.0599976
江苏,third_num,1989,340.6099854
江苏,tGDP,1989,1321.849976
重庆,first_num,1989,81.98999786
重庆,second_num,1989,116.3499985
重庆,third_num,1989,80.12999725
重庆,tGDP,1989,278.4700012
宁夏,first_num,1989,14.80000019
宁夏,second_num,1989,24.38999939
宁夏,third_num,1989,20.02000046
宁夏,tGDP,1989,59.20999908
海南,first_num,1989,42.63999939
海南,second_num,1989,18.29000092
海南,third_num,1989,30.38999939
海南,tGDP,1989,91.31999969
台湾,first_num,1989,0
台湾,second_num,1989,0
台湾,third_num,1989,0
台湾,tGDP,1989,0
北京,first_num,1989,38.52999878
北京,second_num,1989,252.2299957
北京,third_num,1989,165.1999969
北京,tGDP,1989,455.9599915
天津,first_num,1989,26.85000038
天津,second_num,1989,177.5399933
天津,third_num,1989,79.09999847
天津,tGDP,1989,283.4899902
上海,first_num,1989,29.62999916
上海,second_num,1989,466.1799927
上海,third_num,1989,200.7299957
上海,tGDP,1989,696.539978
香港,first_num,1989,0
香港,second_num,1989,0
香港,third_num,1989,0
香港,tGDP,1989,0
澳门,first_num,1989,0
澳门,second_num,1989,0
澳门,third_num,1989,0
澳门,tGDP,1989,0
中国,first_num,1989,4228.200195
中国,second_num,1989,7300.899902
中国,third_num,1989,5650.600098
中国,tGDP,1989,17179.69922
新疆,first_num,1990,104.0899963
新疆,second_num,1990,83.18000031
新疆,third_num,1990,74.16999817
新疆,tGDP,1990,261.4400024
西藏,first_num,1990,14.10000038
西藏,second_num,1990,3.569999933
西藏,third_num,1990,10.02999973
西藏,tGDP,1990,27.70000076
内蒙古,first_num,1990,112.5699997
内蒙古,second_num,1990,102.4300003
内蒙古,third_num,1990,104.3099976
内蒙古,tGDP,1990,319.3099976
青海,first_num,1990,17.67000008
青海,second_num,1990,26.88999939
青海,third_num,1990,25.37999916
青海,tGDP,1990,69.94000244
四川,first_num,1990,321.4100037
四川,second_num,1990,312.6400146
四川,third_num,1990,256.8999939
四川,tGDP,1990,890.9500122
黑龙江,first_num,1990,160.3000031
黑龙江,second_num,1990,362.7000122
黑龙江,third_num,1990,192.1999969
黑龙江,tGDP,1990,715.2000122
甘肃,first_num,1990,64.05999756
甘肃,second_num,1990,98.33000183
甘肃,third_num,1990,80.41000366
甘肃,tGDP,1990,242.8000031
云南,first_num,1990,168.1300049
云南,second_num,1990,157.8000031
云南,third_num,1990,125.7399979
云南,tGDP,1990,451.6700134
广西,first_num,1990,176.7700043
广西,second_num,1990,118.4499969
广西,third_num,1990,153.8399963
广西,tGDP,1990,449.0599976
湖南,first_num,1990,279.0899963
湖南,second_num,1990,252.4900055
湖南,third_num,1990,212.8600006
湖南,tGDP,1990,744.4400024
陕西,first_num,1990,105.5599976
陕西,second_num,1990,166.9499969
陕西,third_num,1990,131.7899933
陕西,tGDP,1990,404.2999878
广东,first_num,1990,384.5899963
广东,second_num,1990,615.8599854
广东,third_num,1990,558.5800171
广东,tGDP,1990,1559.030029
吉林,first_num,1990,124.9899979
吉林,second_num,1990,182.1499939
吉林,third_num,1990,118.1399994
吉林,tGDP,1990,425.2799988
河北,first_num,1990,227.8899994
河北,second_num,1990,387.519989
河北,third_num,1990,280.9200134
河北,tGDP,1990,896.3300171
湖北,first_num,1990,289.4500122
湖北,second_num,1990,313.3900146
湖北,third_num,1990,221.5399933
